Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
False; False; 0; [-513.8345336914062, 160.65939331054688, 0.3056909441947937, 90.00020599365234, -0.1313786804676056, -0.1609496921300888]; [237.94776916503906, -119.03083038330078, 0.007334556430578232, -0.00189208984375, 0.23960985243320465, -0.01083373837172985]
