Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30602774024009705, 90.0001220703125, -0.13073664903640747, -0.1624450534582138]; [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30602774024009705, 90.0001220703125, -0.13073664903640747, -0.1624450534582138]; [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30602774024009705, 90.0001220703125, -0.13073664903640747, -0.1624450534582138]; [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30602774024009705, 90.0001220703125, -0.13073664903640747, -0.1624450534582138]; [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30602774024009705, 90.0001220703125, -0.13073664903640747, -0.1624450534582138]; [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30602774024009705, 90.0001220703125, -0.13073664903640747, -0.1624450534582138]; [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30602774024009705, 90.0001220703125, -0.13073664903640747, -0.1624450534582138]; [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30602774024009705, 90.0001220703125, -0.13073664903640747, -0.1624450534582138]; [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30602774024009705, 90.0001220703125, -0.13073664903640747, -0.1624450534582138]; [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30602774024009705, 90.0001220703125, -0.13073664903640747, -0.1624450534582138]; [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30602774024009705, 90.0001220703125, -0.13073664903640747, -0.1624450534582138]; [237.94776916503906, -119.03076934814453, 0.007356624584645033, -0.001312255859375, 0.23869460821151733, -0.00958251953125]
