Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060948848724365, 90.00021362304688, -0.130893737077713, -0.1626891940832138]; [237.94769287109375, -119.03076934814453, 0.007334079593420029, -0.0010681151179596782, 0.23803891241550446, -0.009002685546875]
