Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [29.85454559326172, -173.75927734375, 0.5018776059150696, 179.99989318847656, -0.13402879238128662, -0.160919189453125]; [260.3706359863281, -258.5420227050781, 0.007500610314309597, -90.00052642822266, 0.23221959173679352, -0.0005798371275886893]; [199.41714477539062, -255.7263946533203, 0.03969379514455795, 89.99227905273438, 0.01570943370461464, -0.01455688662827015]; [214.04568481445312, -168.7613067626953, 0.18380935490131378, 4.8438516387250274e-05, 0.00252716988325119, -0.0018310546875]
False; False; 0; [29.85454559326172, -173.75927734375, 0.5018776059150696, 179.99989318847656, -0.13402879238128662, -0.160919189453125]; [260.3706359863281, -258.5420227050781, 0.007500610314309597, -90.00052642822266, 0.23221959173679352, -0.0005798371275886893]; [199.41714477539062, -255.7263946533203, 0.03969379514455795, 89.99227905273438, 0.01570943370461464, -0.01455688662827015]; [214.04568481445312, -168.7613067626953, 0.18380935490131378, 4.8438516387250274e-05, 0.00252716988325119, -0.0018310546875]
False; False; 0; [29.85454559326172, -173.75927734375, 0.5018776059150696, 179.99989318847656, -0.13402879238128662, -0.160919189453125]; [260.3706359863281, -258.5420227050781, 0.007500610314309597, -90.00052642822266, 0.23221959173679352, -0.0005798371275886893]; [199.41714477539062, -255.7263946533203, 0.03969379514455795, 89.99227905273438, 0.01570943370461464, -0.01455688662827015]; [214.04568481445312, -168.7613067626953, 0.18380935490131378, 4.8438516387250274e-05, 0.00252716988325119, -0.0018310546875]
False; False; 0; [29.85454559326172, -173.75927734375, 0.5018776059150696, 179.99989318847656, -0.13402879238128662, -0.160919189453125]; [260.3706359863281, -258.5420227050781, 0.007500610314309597, -90.00052642822266, 0.23221959173679352, -0.0005798371275886893]; [199.41714477539062, -255.7263946533203, 0.03969379514455795, 89.99227905273438, 0.01570943370461464, -0.01455688662827015]; [214.04568481445312, -168.7613067626953, 0.18380935490131378, 4.8438516387250274e-05, 0.00252716988325119, -0.0018310546875]
False; False; 0; [29.85454559326172, -173.75927734375, 0.5018776059150696, 179.99989318847656, -0.13402879238128662, -0.160919189453125]; [260.3706359863281, -258.5420227050781, 0.007500610314309597, -90.00052642822266, 0.23221959173679352, -0.0005798371275886893]; [199.41714477539062, -255.7263946533203, 0.03969379514455795, 89.99227905273438, 0.01570943370461464, -0.01455688662827015]; [214.04568481445312, -168.7613067626953, 0.18380935490131378, 4.8438516387250274e-05, 0.00252716988325119, -0.0018310546875]
False; False; 0; [29.85454559326172, -173.75927734375, 0.5018776059150696, 179.99989318847656, -0.13402879238128662, -0.160919189453125]; [260.3706359863281, -258.5420227050781, 0.007500610314309597, -90.00052642822266, 0.23221959173679352, -0.0005798371275886893]; [199.41714477539062, -255.7263946533203, 0.03969379514455795, 89.99227905273438, 0.01570943370461464, -0.01455688662827015]; [214.04568481445312, -168.7613067626953, 0.18380935490131378, 4.8438516387250274e-05, 0.00252716988325119, -0.0018310546875]
False; False; 0; [29.85454559326172, -173.75927734375, 0.5018776059150696, 179.99989318847656, -0.13402879238128662, -0.160919189453125]; [260.3706359863281, -258.5420227050781, 0.007500610314309597, -90.00052642822266, 0.23221959173679352, -0.0005798371275886893]; [199.41714477539062, -255.7263946533203, 0.03969379514455795, 89.99227905273438, 0.01570943370461464, -0.01455688662827015]; [214.04568481445312, -168.7613067626953, 0.18380935490131378, 4.8438516387250274e-05, 0.00252716988325119, -0.0018310546875]
False; False; 0; [29.85454559326172, -173.75927734375, 0.5018776059150696, 179.99989318847656, -0.13402879238128662, -0.160919189453125]; [260.3706359863281, -258.5420227050781, 0.007500610314309597, -90.00052642822266, 0.23221959173679352, -0.0005798371275886893]; [199.41714477539062, -255.7263946533203, 0.03969379514455795, 89.99227905273438, 0.01570943370461464, -0.01455688662827015]; [214.04568481445312, -168.7613067626953, 0.18380935490131378, 4.8438516387250274e-05, 0.00252716988325119, -0.0018310546875]
False; False; 0; [29.85454559326172, -173.75927734375, 0.5018776059150696, 179.99989318847656, -0.13402879238128662, -0.160919189453125]; [260.3706359863281, -258.5420227050781, 0.007500610314309597, -90.00052642822266, 0.23221959173679352, -0.0005798371275886893]; [199.41714477539062, -255.7263946533203, 0.03969379514455795, 89.99227905273438, 0.01570943370461464, -0.01455688662827015]; [214.04568481445312, -168.7613067626953, 0.18380935490131378, 4.8438516387250274e-05, 0.00252716988325119, -0.0018310546875]
False; False; 0; [29.85454559326172, -173.75927734375, 0.5018776059150696, 179.99989318847656, -0.13402879238128662, -0.160919189453125]; [260.3706359863281, -258.5420227050781, 0.007500610314309597, -90.00052642822266, 0.23221959173679352, -0.0005798371275886893]; [199.41714477539062, -255.7263946533203, 0.03969379514455795, 89.99227905273438, 0.01570943370461464, -0.01455688662827015]; [214.04568481445312, -168.7613067626953, 0.18380935490131378, 4.8438516387250274e-05, 0.00252716988325119, -0.0018310546875]
False; False; 0; [29.85454559326172, -173.75927734375, 0.5018776059150696, 179.99989318847656, -0.13402879238128662, -0.160919189453125]; [260.3706359863281, -258.5420227050781, 0.007500610314309597, -90.00052642822266, 0.23221959173679352, -0.0005798371275886893]; [199.41714477539062, -255.7263946533203, 0.03969379514455795, 89.99227905273438, 0.01570943370461464, -0.01455688662827015]; [214.04568481445312, -168.7613067626953, 0.18380935490131378, 4.8438516387250274e-05, 0.00252716988325119, -0.0018310546875]
False; False; 0; [29.85454559326172, -173.75927734375, 0.5018776059150696, 179.99989318847656, -0.13402879238128662, -0.160919189453125]; [260.3706359863281, -258.5420227050781, 0.007500610314309597, -90.00052642822266, 0.23221959173679352, -0.0005798371275886893]; [199.41714477539062, -255.7263946533203, 0.03969379514455795, 89.99227905273438, 0.01570943370461464, -0.01455688662827015]; [214.04568481445312, -168.7613067626953, 0.18380935490131378, 4.8438516387250274e-05, 0.00252716988325119, -0.0018310546875]
False; False; 0; [29.85454559326172, -173.75927734375, 0.5018776059150696, 179.99989318847656, -0.13402879238128662, -0.160919189453125]; [260.3706359863281, -258.5420227050781, 0.007500610314309597, -90.00052642822266, 0.23221959173679352, -0.0005798371275886893]; [199.41714477539062, -255.7263946533203, 0.03969379514455795, 89.99227905273438, 0.01570943370461464, -0.01455688662827015]; [214.04568481445312, -168.7613067626953, 0.18380935490131378, 4.8438516387250274e-05, 0.00252716988325119, -0.0018310546875]
False; False; 0; [29.85454559326172, -173.75927734375, 0.5018776059150696, 179.99989318847656, -0.13402879238128662, -0.160919189453125]; [260.3706359863281, -258.5420227050781, 0.007500610314309597, -90.00052642822266, 0.23221959173679352, -0.0005798371275886893]; [199.41714477539062, -255.7263946533203, 0.03969379514455795, 89.99227905273438, 0.01570943370461464, -0.01455688662827015]; [214.04568481445312, -168.7613067626953, 0.18380935490131378, 4.8438516387250274e-05, 0.00252716988325119, -0.0018310546875]
