Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
False; False; 0; [-513.8345336914062, 160.659423828125, 0.3060217797756195, 90.00021362304688, -0.13082543015480042, -0.1622009128332138]; [237.9477996826172, -119.03089904785156, 0.0073194121941924095, -0.0021362302359193563, 0.23981475830078125, -0.01119994930922985]
