Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
False; False; 0; [-513.8344116210938, 160.6593780517578, 0.30594706535339355, 90.00012969970703, -0.13003313541412354, -0.16213984787464142]; [237.99989318847656, -119.0313949584961, 0.006541061215102673, -0.0396728515625, 0.23535464704036713, 4.662491846829653e-05]
