Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [29.85453224182129, -173.75949096679688, 0.5016498565673828, -179.99989318847656, -0.12774501740932465, -0.1588744968175888]; [260.3705749511719, -258.54217529296875, 0.007291564717888832, -90.00045776367188, 0.23252011835575104, -0.0014343380462378263]; [199.4171905517578, -255.72610473632812, 0.03960893675684929, 89.99407958984375, 0.01544988714158535, -0.014068604446947575]; [214.04542541503906, -168.76133728027344, 0.18385444581508636, 0.0, 0.0012294340413063765, -0.0008850097074173391]
False; False; 0; [29.85453224182129, -173.75949096679688, 0.5016498565673828, -179.99989318847656, -0.12774501740932465, -0.1588744968175888]; [260.3705749511719, -258.54217529296875, 0.007291564717888832, -90.00045776367188, 0.23252011835575104, -0.0014343380462378263]; [199.4171905517578, -255.72610473632812, 0.03960893675684929, 89.99407958984375, 0.01544988714158535, -0.014068604446947575]; [214.04542541503906, -168.76133728027344, 0.18385444581508636, 0.0, 0.0012294340413063765, -0.0008850097074173391]
False; False; 0; [29.85453224182129, -173.75949096679688, 0.5016498565673828, -179.99989318847656, -0.12774501740932465, -0.1588744968175888]; [260.3705749511719, -258.54217529296875, 0.007291564717888832, -90.00045776367188, 0.23252011835575104, -0.0014343380462378263]; [199.4171905517578, -255.72610473632812, 0.03960893675684929, 89.99407958984375, 0.01544988714158535, -0.014068604446947575]; [214.04542541503906, -168.76133728027344, 0.18385444581508636, 0.0, 0.0012294340413063765, -0.0008850097074173391]
False; False; 0; [29.85453224182129, -173.75949096679688, 0.5016498565673828, -179.99989318847656, -0.12774501740932465, -0.1588744968175888]; [260.3705749511719, -258.54217529296875, 0.007291564717888832, -90.00045776367188, 0.23252011835575104, -0.0014343380462378263]; [199.4171905517578, -255.72610473632812, 0.03960893675684929, 89.99407958984375, 0.01544988714158535, -0.014068604446947575]; [214.04542541503906, -168.76133728027344, 0.18385444581508636, 0.0, 0.0012294340413063765, -0.0008850097074173391]
False; False; 0; [29.85453224182129, -173.75949096679688, 0.5016498565673828, -179.99989318847656, -0.12774501740932465, -0.1588744968175888]; [260.3705749511719, -258.54217529296875, 0.007291564717888832, -90.00045776367188, 0.23252011835575104, -0.0014343380462378263]; [199.4171905517578, -255.72610473632812, 0.03960893675684929, 89.99407958984375, 0.01544988714158535, -0.014068604446947575]; [214.04542541503906, -168.76133728027344, 0.18385444581508636, 0.0, 0.0012294340413063765, -0.0008850097074173391]
False; False; 0; [29.85453224182129, -173.75949096679688, 0.5016498565673828, -179.99989318847656, -0.12774501740932465, -0.1588744968175888]; [260.3705749511719, -258.54217529296875, 0.007291564717888832, -90.00045776367188, 0.23252011835575104, -0.0014343380462378263]; [199.4171905517578, -255.72610473632812, 0.03960893675684929, 89.99407958984375, 0.01544988714158535, -0.014068604446947575]; [214.04542541503906, -168.76133728027344, 0.18385444581508636, 0.0, 0.0012294340413063765, -0.0008850097074173391]
False; False; 0; [29.85453224182129, -173.75949096679688, 0.5016498565673828, -179.99989318847656, -0.12774501740932465, -0.1588744968175888]; [260.3705749511719, -258.54217529296875, 0.007291564717888832, -90.00045776367188, 0.23252011835575104, -0.0014343380462378263]; [199.4171905517578, -255.72610473632812, 0.03960893675684929, 89.99407958984375, 0.01544988714158535, -0.014068604446947575]; [214.04542541503906, -168.76133728027344, 0.18385444581508636, 0.0, 0.0012294340413063765, -0.0008850097074173391]
False; False; 0; [29.85453224182129, -173.75949096679688, 0.5016498565673828, -179.99989318847656, -0.12774501740932465, -0.1588744968175888]; [260.3705749511719, -258.54217529296875, 0.007291564717888832, -90.00045776367188, 0.23252011835575104, -0.0014343380462378263]; [199.4171905517578, -255.72610473632812, 0.03960893675684929, 89.99407958984375, 0.01544988714158535, -0.014068604446947575]; [214.04542541503906, -168.76133728027344, 0.18385444581508636, 0.0, 0.0012294340413063765, -0.0008850097074173391]
False; False; 0; [29.85453224182129, -173.75949096679688, 0.5016498565673828, -179.99989318847656, -0.12774501740932465, -0.1588744968175888]; [260.3705749511719, -258.54217529296875, 0.007291564717888832, -90.00045776367188, 0.23252011835575104, -0.0014343380462378263]; [199.4171905517578, -255.72610473632812, 0.03960893675684929, 89.99407958984375, 0.01544988714158535, -0.014068604446947575]; [214.04542541503906, -168.76133728027344, 0.18385444581508636, 0.0, 0.0012294340413063765, -0.0008850097074173391]
False; False; 0; [29.85453224182129, -173.75949096679688, 0.5016498565673828, -179.99989318847656, -0.12774501740932465, -0.1588744968175888]; [260.3705749511719, -258.54217529296875, 0.007291564717888832, -90.00045776367188, 0.23252011835575104, -0.0014343380462378263]; [199.4171905517578, -255.72610473632812, 0.03960893675684929, 89.99407958984375, 0.01544988714158535, -0.014068604446947575]; [214.04542541503906, -168.76133728027344, 0.18385444581508636, 0.0, 0.0012294340413063765, -0.0008850097074173391]
False; False; 0; [29.85453224182129, -173.75949096679688, 0.5016498565673828, -179.99989318847656, -0.12774501740932465, -0.1588744968175888]; [260.3705749511719, -258.54217529296875, 0.007291564717888832, -90.00045776367188, 0.23252011835575104, -0.0014343380462378263]; [199.4171905517578, -255.72610473632812, 0.03960893675684929, 89.99407958984375, 0.01544988714158535, -0.014068604446947575]; [214.04542541503906, -168.76133728027344, 0.18385444581508636, 0.0, 0.0012294340413063765, -0.0008850097074173391]
False; False; 0; [29.85453224182129, -173.75949096679688, 0.5016498565673828, -179.99989318847656, -0.12774501740932465, -0.1588744968175888]; [260.3705749511719, -258.54217529296875, 0.007291564717888832, -90.00045776367188, 0.23252011835575104, -0.0014343380462378263]; [199.4171905517578, -255.72610473632812, 0.03960893675684929, 89.99407958984375, 0.01544988714158535, -0.014068604446947575]; [214.04542541503906, -168.76133728027344, 0.18385444581508636, 0.0, 0.0012294340413063765, -0.0008850097074173391]
False; False; 0; [29.85453224182129, -173.75949096679688, 0.5016498565673828, -179.99989318847656, -0.12774501740932465, -0.1588744968175888]; [260.3705749511719, -258.54217529296875, 0.007291564717888832, -90.00045776367188, 0.23252011835575104, -0.0014343380462378263]; [199.4171905517578, -255.72610473632812, 0.03960893675684929, 89.99407958984375, 0.01544988714158535, -0.014068604446947575]; [214.04542541503906, -168.76133728027344, 0.18385444581508636, 0.0, 0.0012294340413063765, -0.0008850097074173391]
False; False; 0; [29.85453224182129, -173.75949096679688, 0.5016498565673828, -179.99989318847656, -0.12774501740932465, -0.1588744968175888]; [260.3705749511719, -258.54217529296875, 0.007291564717888832, -90.00045776367188, 0.23252011835575104, -0.0014343380462378263]; [199.4171905517578, -255.72610473632812, 0.03960893675684929, 89.99407958984375, 0.01544988714158535, -0.014068604446947575]; [214.04542541503906, -168.76133728027344, 0.18385444581508636, 0.0, 0.0012294340413063765, -0.0008850097074173391]
