Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3058094084262848, 90.00015258789062, -0.1310986429452896, -0.1614989936351776]; [237.94775390625, -119.03074645996094, 0.007246227003633976, -0.0014648436335846782, 0.23810720443725586, -0.00921630859375]
