Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 0; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
False; False; 1745485555915831000; [29.854537963867188, -173.7592315673828, 0.5021690130233765, -179.999755859375, -0.1337282657623291, -0.161468505859375]; [260.3757019042969, -258.70428466796875, 0.006507434882223606, -90.02208709716797, 0.24424071609973907, 3.0682767828693613e-06]; [199.2997589111328, -255.7261505126953, 0.039820365607738495, 89.99638366699219, 0.017143774777650833, -0.013702392578125]; [214.0457763671875, -168.76193237304688, 0.18403907120227814, 0.00012708785652648658, 0.0038180756382644176, -0.0023193357046693563]
