Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [29.854549407958984, -173.75929260253906, 0.5020084381103516, 179.99986267089844, -0.13452057540416718, -0.1605834662914276]; [260.3704528808594, -258.5422058105469, 0.007374896667897701, -90.00131225585938, 0.23940494656562805, -0.010711670853197575]; [199.41714477539062, -255.7261199951172, 0.03960029408335686, 89.99345397949219, 0.015490868128836155, -0.01403808780014515]; [214.04571533203125, -168.76187133789062, 0.18384036421775818, 0.00013462740753311664, 0.004104943480342627, -0.0026550290640443563]
False; False; 0; [29.854549407958984, -173.75929260253906, 0.5020084381103516, 179.99986267089844, -0.13452057540416718, -0.1605834662914276]; [260.3704528808594, -258.5422058105469, 0.007374896667897701, -90.00131225585938, 0.23940494656562805, -0.010711670853197575]; [199.41714477539062, -255.7261199951172, 0.03960029408335686, 89.99345397949219, 0.015490868128836155, -0.01403808780014515]; [214.04571533203125, -168.76187133789062, 0.18384036421775818, 0.00013462740753311664, 0.004104943480342627, -0.0026550290640443563]
False; False; 0; [29.854549407958984, -173.75929260253906, 0.5020084381103516, 179.99986267089844, -0.13452057540416718, -0.1605834662914276]; [260.3704528808594, -258.5422058105469, 0.007374896667897701, -90.00131225585938, 0.23940494656562805, -0.010711670853197575]; [199.41714477539062, -255.7261199951172, 0.03960029408335686, 89.99345397949219, 0.015490868128836155, -0.01403808780014515]; [214.04571533203125, -168.76187133789062, 0.18384036421775818, 0.00013462740753311664, 0.004104943480342627, -0.0026550290640443563]
False; False; 0; [29.854549407958984, -173.75929260253906, 0.5020084381103516, 179.99986267089844, -0.13452057540416718, -0.1605834662914276]; [260.3704528808594, -258.5422058105469, 0.007374896667897701, -90.00131225585938, 0.23940494656562805, -0.010711670853197575]; [199.41714477539062, -255.7261199951172, 0.03960029408335686, 89.99345397949219, 0.015490868128836155, -0.01403808780014515]; [214.04571533203125, -168.76187133789062, 0.18384036421775818, 0.00013462740753311664, 0.004104943480342627, -0.0026550290640443563]
False; False; 0; [29.854549407958984, -173.75929260253906, 0.5020084381103516, 179.99986267089844, -0.13452057540416718, -0.1605834662914276]; [260.3704528808594, -258.5422058105469, 0.007374896667897701, -90.00131225585938, 0.23940494656562805, -0.010711670853197575]; [199.41714477539062, -255.7261199951172, 0.03960029408335686, 89.99345397949219, 0.015490868128836155, -0.01403808780014515]; [214.04571533203125, -168.76187133789062, 0.18384036421775818, 0.00013462740753311664, 0.004104943480342627, -0.0026550290640443563]
False; False; 0; [29.854549407958984, -173.75929260253906, 0.5020084381103516, 179.99986267089844, -0.13452057540416718, -0.1605834662914276]; [260.3704528808594, -258.5422058105469, 0.007374896667897701, -90.00131225585938, 0.23940494656562805, -0.010711670853197575]; [199.41714477539062, -255.7261199951172, 0.03960029408335686, 89.99345397949219, 0.015490868128836155, -0.01403808780014515]; [214.04571533203125, -168.76187133789062, 0.18384036421775818, 0.00013462740753311664, 0.004104943480342627, -0.0026550290640443563]
False; False; 0; [29.854549407958984, -173.75929260253906, 0.5020084381103516, 179.99986267089844, -0.13452057540416718, -0.1605834662914276]; [260.3704528808594, -258.5422058105469, 0.007374896667897701, -90.00131225585938, 0.23940494656562805, -0.010711670853197575]; [199.41714477539062, -255.7261199951172, 0.03960029408335686, 89.99345397949219, 0.015490868128836155, -0.01403808780014515]; [214.04571533203125, -168.76187133789062, 0.18384036421775818, 0.00013462740753311664, 0.004104943480342627, -0.0026550290640443563]
False; False; 0; [29.854549407958984, -173.75929260253906, 0.5020084381103516, 179.99986267089844, -0.13452057540416718, -0.1605834662914276]; [260.3704528808594, -258.5422058105469, 0.007374896667897701, -90.00131225585938, 0.23940494656562805, -0.010711670853197575]; [199.41714477539062, -255.7261199951172, 0.03960029408335686, 89.99345397949219, 0.015490868128836155, -0.01403808780014515]; [214.04571533203125, -168.76187133789062, 0.18384036421775818, 0.00013462740753311664, 0.004104943480342627, -0.0026550290640443563]
False; False; 0; [29.854549407958984, -173.75929260253906, 0.5020084381103516, 179.99986267089844, -0.13452057540416718, -0.1605834662914276]; [260.3704528808594, -258.5422058105469, 0.007374896667897701, -90.00131225585938, 0.23940494656562805, -0.010711670853197575]; [199.41714477539062, -255.7261199951172, 0.03960029408335686, 89.99345397949219, 0.015490868128836155, -0.01403808780014515]; [214.04571533203125, -168.76187133789062, 0.18384036421775818, 0.00013462740753311664, 0.004104943480342627, -0.0026550290640443563]
False; False; 0; [29.854549407958984, -173.75929260253906, 0.5020084381103516, 179.99986267089844, -0.13452057540416718, -0.1605834662914276]; [260.3704528808594, -258.5422058105469, 0.007374896667897701, -90.00131225585938, 0.23940494656562805, -0.010711670853197575]; [199.41714477539062, -255.7261199951172, 0.03960029408335686, 89.99345397949219, 0.015490868128836155, -0.01403808780014515]; [214.04571533203125, -168.76187133789062, 0.18384036421775818, 0.00013462740753311664, 0.004104943480342627, -0.0026550290640443563]
False; False; 0; [29.854549407958984, -173.75929260253906, 0.5020084381103516, 179.99986267089844, -0.13452057540416718, -0.1605834662914276]; [260.3704528808594, -258.5422058105469, 0.007374896667897701, -90.00131225585938, 0.23940494656562805, -0.010711670853197575]; [199.41714477539062, -255.7261199951172, 0.03960029408335686, 89.99345397949219, 0.015490868128836155, -0.01403808780014515]; [214.04571533203125, -168.76187133789062, 0.18384036421775818, 0.00013462740753311664, 0.004104943480342627, -0.0026550290640443563]
False; False; 0; [29.854549407958984, -173.75929260253906, 0.5020084381103516, 179.99986267089844, -0.13452057540416718, -0.1605834662914276]; [260.3704528808594, -258.5422058105469, 0.007374896667897701, -90.00131225585938, 0.23940494656562805, -0.010711670853197575]; [199.41714477539062, -255.7261199951172, 0.03960029408335686, 89.99345397949219, 0.015490868128836155, -0.01403808780014515]; [214.04571533203125, -168.76187133789062, 0.18384036421775818, 0.00013462740753311664, 0.004104943480342627, -0.0026550290640443563]
False; False; 0; [29.854549407958984, -173.75929260253906, 0.5020084381103516, 179.99986267089844, -0.13452057540416718, -0.1605834662914276]; [260.3704528808594, -258.5422058105469, 0.007374896667897701, -90.00131225585938, 0.23940494656562805, -0.010711670853197575]; [199.41714477539062, -255.7261199951172, 0.03960029408335686, 89.99345397949219, 0.015490868128836155, -0.01403808780014515]; [214.04571533203125, -168.76187133789062, 0.18384036421775818, 0.00013462740753311664, 0.004104943480342627, -0.0026550290640443563]
False; False; 0; [29.854549407958984, -173.75929260253906, 0.5020084381103516, 179.99986267089844, -0.13452057540416718, -0.1605834662914276]; [260.3704528808594, -258.5422058105469, 0.007374896667897701, -90.00131225585938, 0.23940494656562805, -0.010711670853197575]; [199.41714477539062, -255.7261199951172, 0.03960029408335686, 89.99345397949219, 0.015490868128836155, -0.01403808780014515]; [214.04571533203125, -168.76187133789062, 0.18384036421775818, 0.00013462740753311664, 0.004104943480342627, -0.0026550290640443563]
