Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3060014545917511, 90.0001220703125, -0.13098253309726715, -0.1623229831457138]; [237.9480438232422, -119.0307846069336, 0.007402839604765177, 0.03030174970626831, 0.2445412427186966, -0.015441890805959702]
