Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.83447265625, 160.6594696044922, 0.3059525787830353, 90.00021362304688, -0.13272422552108765, -0.1614074558019638]; [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]
False; False; 0; [-513.83447265625, 160.6594696044922, 0.3059525787830353, 90.00021362304688, -0.13272422552108765, -0.1614074558019638]; [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]
False; False; 0; [-513.83447265625, 160.6594696044922, 0.3059525787830353, 90.00021362304688, -0.13272422552108765, -0.1614074558019638]; [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]
False; False; 0; [-513.83447265625, 160.6594696044922, 0.3059525787830353, 90.00021362304688, -0.13272422552108765, -0.1614074558019638]; [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]
False; False; 0; [-513.83447265625, 160.6594696044922, 0.3059525787830353, 90.00021362304688, -0.13272422552108765, -0.1614074558019638]; [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]
False; False; 0; [-513.83447265625, 160.6594696044922, 0.3059525787830353, 90.00021362304688, -0.13272422552108765, -0.1614074558019638]; [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]
False; False; 0; [-513.83447265625, 160.6594696044922, 0.3059525787830353, 90.00021362304688, -0.13272422552108765, -0.1614074558019638]; [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]
False; False; 0; [-513.83447265625, 160.6594696044922, 0.3059525787830353, 90.00021362304688, -0.13272422552108765, -0.1614074558019638]; [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]
False; False; 0; [-513.83447265625, 160.6594696044922, 0.3059525787830353, 90.00021362304688, -0.13272422552108765, -0.1614074558019638]; [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]
False; False; 0; [-513.83447265625, 160.6594696044922, 0.3059525787830353, 90.00021362304688, -0.13272422552108765, -0.1614074558019638]; [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]
False; False; 0; [-513.83447265625, 160.6594696044922, 0.3059525787830353, 90.00021362304688, -0.13272422552108765, -0.1614074558019638]; [237.99525451660156, -119.03086853027344, 0.006479892414063215, -0.027587890625, 0.23493801057338715, 4.6905024646548554e-05]
