Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [29.85452651977539, -173.75892639160156, 0.501352846622467, 179.99960327148438, -0.1224038153886795, -0.16030879318714142]; [260.3704528808594, -258.542236328125, 0.007401160895824432, -90.00048065185547, 0.23458966612815857, -0.004119865596294403]; [199.41722106933594, -255.72616577148438, 0.03936202824115753, 89.99480438232422, 0.01553867943584919, -0.013885497115552425]; [214.0457763671875, -168.76181030273438, 0.18326705694198608, 0.00012139701721025631, 0.004057132173329592, -0.002532958984375]
False; False; 0; [29.85452651977539, -173.75892639160156, 0.501352846622467, 179.99960327148438, -0.1224038153886795, -0.16030879318714142]; [260.3704528808594, -258.542236328125, 0.007401160895824432, -90.00048065185547, 0.23458966612815857, -0.004119865596294403]; [199.41722106933594, -255.72616577148438, 0.03936202824115753, 89.99480438232422, 0.01553867943584919, -0.013885497115552425]; [214.0457763671875, -168.76181030273438, 0.18326705694198608, 0.00012139701721025631, 0.004057132173329592, -0.002532958984375]
False; False; 0; [29.85452651977539, -173.75892639160156, 0.501352846622467, 179.99960327148438, -0.1224038153886795, -0.16030879318714142]; [260.3704528808594, -258.542236328125, 0.007401160895824432, -90.00048065185547, 0.23458966612815857, -0.004119865596294403]; [199.41722106933594, -255.72616577148438, 0.03936202824115753, 89.99480438232422, 0.01553867943584919, -0.013885497115552425]; [214.0457763671875, -168.76181030273438, 0.18326705694198608, 0.00012139701721025631, 0.004057132173329592, -0.002532958984375]
False; False; 0; [29.85452651977539, -173.75892639160156, 0.501352846622467, 179.99960327148438, -0.1224038153886795, -0.16030879318714142]; [260.3704528808594, -258.542236328125, 0.007401160895824432, -90.00048065185547, 0.23458966612815857, -0.004119865596294403]; [199.41722106933594, -255.72616577148438, 0.03936202824115753, 89.99480438232422, 0.01553867943584919, -0.013885497115552425]; [214.0457763671875, -168.76181030273438, 0.18326705694198608, 0.00012139701721025631, 0.004057132173329592, -0.002532958984375]
False; False; 0; [29.85452651977539, -173.75892639160156, 0.501352846622467, 179.99960327148438, -0.1224038153886795, -0.16030879318714142]; [260.3704528808594, -258.542236328125, 0.007401160895824432, -90.00048065185547, 0.23458966612815857, -0.004119865596294403]; [199.41722106933594, -255.72616577148438, 0.03936202824115753, 89.99480438232422, 0.01553867943584919, -0.013885497115552425]; [214.0457763671875, -168.76181030273438, 0.18326705694198608, 0.00012139701721025631, 0.004057132173329592, -0.002532958984375]
False; False; 0; [29.85452651977539, -173.75892639160156, 0.501352846622467, 179.99960327148438, -0.1224038153886795, -0.16030879318714142]; [260.3704528808594, -258.542236328125, 0.007401160895824432, -90.00048065185547, 0.23458966612815857, -0.004119865596294403]; [199.41722106933594, -255.72616577148438, 0.03936202824115753, 89.99480438232422, 0.01553867943584919, -0.013885497115552425]; [214.0457763671875, -168.76181030273438, 0.18326705694198608, 0.00012139701721025631, 0.004057132173329592, -0.002532958984375]
False; False; 0; [29.85452651977539, -173.75892639160156, 0.501352846622467, 179.99960327148438, -0.1224038153886795, -0.16030879318714142]; [260.3704528808594, -258.542236328125, 0.007401160895824432, -90.00048065185547, 0.23458966612815857, -0.004119865596294403]; [199.41722106933594, -255.72616577148438, 0.03936202824115753, 89.99480438232422, 0.01553867943584919, -0.013885497115552425]; [214.0457763671875, -168.76181030273438, 0.18326705694198608, 0.00012139701721025631, 0.004057132173329592, -0.002532958984375]
False; False; 0; [29.85452651977539, -173.75892639160156, 0.501352846622467, 179.99960327148438, -0.1224038153886795, -0.16030879318714142]; [260.3704528808594, -258.542236328125, 0.007401160895824432, -90.00048065185547, 0.23458966612815857, -0.004119865596294403]; [199.41722106933594, -255.72616577148438, 0.03936202824115753, 89.99480438232422, 0.01553867943584919, -0.013885497115552425]; [214.0457763671875, -168.76181030273438, 0.18326705694198608, 0.00012139701721025631, 0.004057132173329592, -0.002532958984375]
False; False; 0; [29.85452651977539, -173.75892639160156, 0.501352846622467, 179.99960327148438, -0.1224038153886795, -0.16030879318714142]; [260.3704528808594, -258.542236328125, 0.007401160895824432, -90.00048065185547, 0.23458966612815857, -0.004119865596294403]; [199.41722106933594, -255.72616577148438, 0.03936202824115753, 89.99480438232422, 0.01553867943584919, -0.013885497115552425]; [214.0457763671875, -168.76181030273438, 0.18326705694198608, 0.00012139701721025631, 0.004057132173329592, -0.002532958984375]
False; False; 0; [29.85452651977539, -173.75892639160156, 0.501352846622467, 179.99960327148438, -0.1224038153886795, -0.16030879318714142]; [260.3704528808594, -258.542236328125, 0.007401160895824432, -90.00048065185547, 0.23458966612815857, -0.004119865596294403]; [199.41722106933594, -255.72616577148438, 0.03936202824115753, 89.99480438232422, 0.01553867943584919, -0.013885497115552425]; [214.0457763671875, -168.76181030273438, 0.18326705694198608, 0.00012139701721025631, 0.004057132173329592, -0.002532958984375]
False; False; 0; [29.85452651977539, -173.75892639160156, 0.501352846622467, 179.99960327148438, -0.1224038153886795, -0.16030879318714142]; [260.3704528808594, -258.542236328125, 0.007401160895824432, -90.00048065185547, 0.23458966612815857, -0.004119865596294403]; [199.41722106933594, -255.72616577148438, 0.03936202824115753, 89.99480438232422, 0.01553867943584919, -0.013885497115552425]; [214.0457763671875, -168.76181030273438, 0.18326705694198608, 0.00012139701721025631, 0.004057132173329592, -0.002532958984375]
