Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]; [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]
False; False; 0; [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]; [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]
False; False; 0; [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]; [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]
False; False; 0; [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]; [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]
False; False; 0; [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]; [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]
False; False; 0; [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]; [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]
False; False; 0; [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]; [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]
False; False; 0; [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]; [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]
False; False; 0; [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]; [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]
False; False; 0; [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]; [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]
False; False; 0; [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]; [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]
False; False; 0; [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]; [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]
False; False; 0; [-513.8346557617188, 160.65940856933594, 0.30623582005500793, 90.00020599365234, -0.13100984692573547, -0.1633911430835724]; [237.9477081298828, -119.03083038330078, 0.0073309894651174545, -0.0014648438664153218, 0.23894049227237701, -0.010162353515625]
