Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [29.85453224182129, -173.75938415527344, 0.501893162727356, 179.99986267089844, -0.13135136663913727, -0.1616515815258026]; [260.3694152832031, -258.60028076171875, 0.006483936216682196, -90.05186462402344, 0.2357029914855957, 4.890563286608085e-05]; [199.4171600341797, -255.7261505126953, 0.039548758417367935, 89.99298095703125, 0.015948491171002388, -0.013885497115552425]; [214.0457305908203, -168.76156616210938, 0.18401706218719482, 2.3491786123486236e-05, 0.0024793585762381554, -0.0015869139460846782]
False; False; 0; [29.85453224182129, -173.75938415527344, 0.501893162727356, 179.99986267089844, -0.13135136663913727, -0.1616515815258026]; [260.3694152832031, -258.60028076171875, 0.006483936216682196, -90.05186462402344, 0.2357029914855957, 4.890563286608085e-05]; [199.4171600341797, -255.7261505126953, 0.039548758417367935, 89.99298095703125, 0.015948491171002388, -0.013885497115552425]; [214.0457305908203, -168.76156616210938, 0.18401706218719482, 2.3491786123486236e-05, 0.0024793585762381554, -0.0015869139460846782]
False; False; 0; [29.85453224182129, -173.75938415527344, 0.501893162727356, 179.99986267089844, -0.13135136663913727, -0.1616515815258026]; [260.3694152832031, -258.60028076171875, 0.006483936216682196, -90.05186462402344, 0.2357029914855957, 4.890563286608085e-05]; [199.4171600341797, -255.7261505126953, 0.039548758417367935, 89.99298095703125, 0.015948491171002388, -0.013885497115552425]; [214.0457305908203, -168.76156616210938, 0.18401706218719482, 2.3491786123486236e-05, 0.0024793585762381554, -0.0015869139460846782]
False; False; 0; [29.85453224182129, -173.75938415527344, 0.501893162727356, 179.99986267089844, -0.13135136663913727, -0.1616515815258026]; [260.3694152832031, -258.60028076171875, 0.006483936216682196, -90.05186462402344, 0.2357029914855957, 4.890563286608085e-05]; [199.4171600341797, -255.7261505126953, 0.039548758417367935, 89.99298095703125, 0.015948491171002388, -0.013885497115552425]; [214.0457305908203, -168.76156616210938, 0.18401706218719482, 2.3491786123486236e-05, 0.0024793585762381554, -0.0015869139460846782]
False; False; 0; [29.85453224182129, -173.75938415527344, 0.501893162727356, 179.99986267089844, -0.13135136663913727, -0.1616515815258026]; [260.3694152832031, -258.60028076171875, 0.006483936216682196, -90.05186462402344, 0.2357029914855957, 4.890563286608085e-05]; [199.4171600341797, -255.7261505126953, 0.039548758417367935, 89.99298095703125, 0.015948491171002388, -0.013885497115552425]; [214.0457305908203, -168.76156616210938, 0.18401706218719482, 2.3491786123486236e-05, 0.0024793585762381554, -0.0015869139460846782]
False; False; 0; [29.85453224182129, -173.75938415527344, 0.501893162727356, 179.99986267089844, -0.13135136663913727, -0.1616515815258026]; [260.3694152832031, -258.60028076171875, 0.006483936216682196, -90.05186462402344, 0.2357029914855957, 4.890563286608085e-05]; [199.4171600341797, -255.7261505126953, 0.039548758417367935, 89.99298095703125, 0.015948491171002388, -0.013885497115552425]; [214.0457305908203, -168.76156616210938, 0.18401706218719482, 2.3491786123486236e-05, 0.0024793585762381554, -0.0015869139460846782]
False; False; 0; [29.85453224182129, -173.75938415527344, 0.501893162727356, 179.99986267089844, -0.13135136663913727, -0.1616515815258026]; [260.3694152832031, -258.60028076171875, 0.006483936216682196, -90.05186462402344, 0.2357029914855957, 4.890563286608085e-05]; [199.4171600341797, -255.7261505126953, 0.039548758417367935, 89.99298095703125, 0.015948491171002388, -0.013885497115552425]; [214.0457305908203, -168.76156616210938, 0.18401706218719482, 2.3491786123486236e-05, 0.0024793585762381554, -0.0015869139460846782]
False; False; 0; [29.85453224182129, -173.75938415527344, 0.501893162727356, 179.99986267089844, -0.13135136663913727, -0.1616515815258026]; [260.3694152832031, -258.60028076171875, 0.006483936216682196, -90.05186462402344, 0.2357029914855957, 4.890563286608085e-05]; [199.4171600341797, -255.7261505126953, 0.039548758417367935, 89.99298095703125, 0.015948491171002388, -0.013885497115552425]; [214.0457305908203, -168.76156616210938, 0.18401706218719482, 2.3491786123486236e-05, 0.0024793585762381554, -0.0015869139460846782]
False; False; 0; [29.85453224182129, -173.75938415527344, 0.501893162727356, 179.99986267089844, -0.13135136663913727, -0.1616515815258026]; [260.3694152832031, -258.60028076171875, 0.006483936216682196, -90.05186462402344, 0.2357029914855957, 4.890563286608085e-05]; [199.4171600341797, -255.7261505126953, 0.039548758417367935, 89.99298095703125, 0.015948491171002388, -0.013885497115552425]; [214.0457305908203, -168.76156616210938, 0.18401706218719482, 2.3491786123486236e-05, 0.0024793585762381554, -0.0015869139460846782]
False; False; 0; [29.85453224182129, -173.75938415527344, 0.501893162727356, 179.99986267089844, -0.13135136663913727, -0.1616515815258026]; [260.3694152832031, -258.60028076171875, 0.006483936216682196, -90.05186462402344, 0.2357029914855957, 4.890563286608085e-05]; [199.4171600341797, -255.7261505126953, 0.039548758417367935, 89.99298095703125, 0.015948491171002388, -0.013885497115552425]; [214.0457305908203, -168.76156616210938, 0.18401706218719482, 2.3491786123486236e-05, 0.0024793585762381554, -0.0015869139460846782]
False; False; 0; [29.85453224182129, -173.75938415527344, 0.501893162727356, 179.99986267089844, -0.13135136663913727, -0.1616515815258026]; [260.3694152832031, -258.60028076171875, 0.006483936216682196, -90.05186462402344, 0.2357029914855957, 4.890563286608085e-05]; [199.4171600341797, -255.7261505126953, 0.039548758417367935, 89.99298095703125, 0.015948491171002388, -0.013885497115552425]; [214.0457305908203, -168.76156616210938, 0.18401706218719482, 2.3491786123486236e-05, 0.0024793585762381554, -0.0015869139460846782]
False; False; 0; [29.85453224182129, -173.75938415527344, 0.501893162727356, 179.99986267089844, -0.13135136663913727, -0.1616515815258026]; [260.3694152832031, -258.60028076171875, 0.006483936216682196, -90.05186462402344, 0.2357029914855957, 4.890563286608085e-05]; [199.4171600341797, -255.7261505126953, 0.039548758417367935, 89.99298095703125, 0.015948491171002388, -0.013885497115552425]; [214.0457305908203, -168.76156616210938, 0.18401706218719482, 2.3491786123486236e-05, 0.0024793585762381554, -0.0015869139460846782]
False; False; 0; [29.85453224182129, -173.75938415527344, 0.501893162727356, 179.99986267089844, -0.13135136663913727, -0.1616515815258026]; [260.3694152832031, -258.60028076171875, 0.006483936216682196, -90.05186462402344, 0.2357029914855957, 4.890563286608085e-05]; [199.4171600341797, -255.7261505126953, 0.039548758417367935, 89.99298095703125, 0.015948491171002388, -0.013885497115552425]; [214.0457305908203, -168.76156616210938, 0.18401706218719482, 2.3491786123486236e-05, 0.0024793585762381554, -0.0015869139460846782]
