Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
False; False; 0; [-513.8345947265625, 160.6593780517578, 0.30609723925590515, 90.00019073486328, -0.12982140481472015, -0.162841796875]; [238.00274658203125, -119.03158569335938, 0.0065401457250118256, -0.0465698204934597, 0.23579861223697662, 4.80015660286881e-05]
