Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_2.transform; Carla Interface.agents.Ego Vehicle_3.transform
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
False; False; 0; [29.854549407958984, -173.75912475585938, 0.5016517043113708, 179.9998779296875, -0.1339331716299057, -0.16046138107776642]; [260.3703918457031, -258.5882873535156, 0.006468982435762882, -90.02294921875, 0.2350609451532364, 5.2467494242591783e-05]; [199.4168243408203, -255.72642517089844, 0.0396762453019619, 89.98843383789062, 0.016932038590312004, -0.013427733443677425]; [214.04562377929688, -168.76158142089844, 0.18328940868377686, 5.2679995860671625e-05, 0.002943811472505331, -0.001983642578125]
