Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 0; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682459854700; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682470781100; [-513.8346557617188, 160.65939331054688, 0.3062181770801544, 90.00021362304688, -0.13042928278446198, -0.1628722995519638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682481708000; [-513.8346557617188, 160.65939331054688, 0.30615368485450745, 90.00021362304688, -0.13040196895599365, -0.1626586765050888]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682493131500; [-513.8346557617188, 160.65939331054688, 0.30610916018486023, 90.00021362304688, -0.13040196895599365, -0.1626586765050888]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682503561600; [-513.8346557617188, 160.65939331054688, 0.3060583770275116, 90.00021362304688, -0.13064102828502655, -0.1624145358800888]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682514487700; [-513.8346557617188, 160.65939331054688, 0.3060583770275116, 90.00021362304688, -0.13064102828502655, -0.1624145358800888]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682525911600; [-513.8346557617188, 160.65939331054688, 0.3060075640678406, 90.00021362304688, -0.1307981163263321, -0.1622619330883026]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682536837900; [-513.8346557617188, 160.65939331054688, 0.305948942899704, 90.00021362304688, -0.13100984692573547, -0.1620788276195526]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682547267900; [-513.8346557617188, 160.65939331054688, 0.3059001564979553, 90.00021362304688, -0.13125573098659515, -0.1619262397289276]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682557697700; [-513.8346557617188, 160.65939331054688, 0.30584749579429626, 90.00021362304688, -0.13150162994861603, -0.16174311935901642]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682568127600; [-513.8346557617188, 160.65939331054688, 0.3058054447174072, 90.00021362304688, -0.1317133605480194, -0.1615905612707138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682579054400; [-513.8346557617188, 160.65939331054688, 0.3058054447174072, 90.00021362304688, -0.1317133605480194, -0.1615905612707138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682589981000; [-513.8346557617188, 160.65939331054688, 0.305755078792572, 90.00021362304688, -0.1319933980703354, -0.1614074558019638]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682600410900; [-513.8346557617188, 160.65939331054688, 0.3057076930999756, 90.00022888183594, -0.1322324573993683, -0.1612548679113388]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682600410900; [-513.8346557617188, 160.65939331054688, 0.3056735098361969, 90.00022888183594, -0.13247151672840118, -0.1611327975988388]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682611337600; [-513.8346557617188, 160.65939331054688, 0.3056735098361969, 90.00022888183594, -0.13247151672840118, -0.1611327975988388]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682622264600; [-513.8346557617188, 160.65939331054688, 0.3056351840496063, 90.00022888183594, -0.13272422552108765, -0.1609802097082138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682633191200; [-513.8346557617188, 160.65939331054688, 0.3056044578552246, 90.00022888183594, -0.13293597102165222, -0.1608581393957138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682644117600; [-513.8346557617188, 160.65939331054688, 0.3056044578552246, 90.00022888183594, -0.13293597102165222, -0.1608581393957138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682655044200; [-513.8346557617188, 160.65939331054688, 0.30557119846343994, 90.00022888183594, -0.13317501544952393, -0.1607666015625]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682665971200; [-513.8346557617188, 160.65939331054688, 0.30557119846343994, 90.00022888183594, -0.13317501544952393, -0.1607666015625]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682676401000; [-513.8346557617188, 160.65939331054688, 0.3055330216884613, 90.00023651123047, -0.13342773914337158, -0.16064453125]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682687327600; [-513.8346557617188, 160.65939331054688, 0.30550581216812134, 90.00023651123047, -0.13363946974277496, -0.160552978515625]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682698254000; [-513.8346557617188, 160.65939331054688, 0.3054824471473694, 90.00023651123047, -0.13381706178188324, -0.16046142578125]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682709181000; [-513.8346557617188, 160.65939331054688, 0.3054824471473694, 90.00023651123047, -0.13381706178188324, -0.16046142578125]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682719611400; [-513.8346557617188, 160.65939331054688, 0.3054625689983368, 90.00023651123047, -0.13399463891983032, -0.1604004055261612]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682730041200; [-513.8346557617188, 160.65939331054688, 0.3054443597793579, 90.00023651123047, -0.13418589532375336, -0.16033935546875]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682740967500; [-513.8346557617188, 160.65939331054688, 0.3054303526878357, 90.00023651123047, -0.1343429833650589, -0.1602783203125]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682751397500; [-513.8346557617188, 160.65939331054688, 0.3054303526878357, 90.00023651123047, -0.1343429833650589, -0.1602783203125]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682761827600; [-513.8346557617188, 160.65939331054688, 0.30541664361953735, 90.00023651123047, -0.13446593284606934, -0.1602173000574112]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682772257400; [-513.8346557617188, 160.65939331054688, 0.30539602041244507, 90.000244140625, -0.13460935652256012, -0.16015625]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682783184700; [-513.8346557617188, 160.65939331054688, 0.30539602041244507, 90.000244140625, -0.13460935652256012, -0.16015625]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682794111000; [-513.8346557617188, 160.65939331054688, 0.305385947227478, 90.000244140625, -0.13473230600357056, -0.1601257473230362]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682805037500; [-513.8346557617188, 160.65939331054688, 0.305377721786499, 90.000244140625, -0.13473230600357056, -0.1601257473230362]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682815467500; [-513.8346557617188, 160.65939331054688, 0.30537107586860657, 90.0002212524414, -0.13491672277450562, -0.1600341647863388]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682826394200; [-513.8346557617188, 160.65939331054688, 0.30536383390426636, 90.0002212524414, -0.13491672277450562, -0.1600341647863388]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682837817500; [-513.8346557617188, 160.65939331054688, 0.30536383390426636, 90.0002212524414, -0.13491672277450562, -0.1600341647863388]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682848744300; [-513.8346557617188, 160.65939331054688, 0.30535921454429626, 90.0002212524414, -0.13510796427726746, -0.1600036472082138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682859670500; [-513.8346557617188, 160.65939331054688, 0.30535292625427246, 90.0002212524414, -0.13510796427726746, -0.1600036472082138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682870597200; [-513.8346557617188, 160.65939331054688, 0.30535292625427246, 90.0002212524414, -0.13510796427726746, -0.1600036472082138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682881524200; [-513.8346557617188, 160.65939331054688, 0.30535292625427246, 90.0002212524414, -0.13510796427726746, -0.1600036472082138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682892451000; [-513.8346557617188, 160.65939331054688, 0.30535799264907837, 90.0002212524414, -0.13510796427726746, -0.1600036472082138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682892451000; [-513.8346557617188, 160.65939331054688, 0.30536043643951416, 90.0002212524414, -0.13510796427726746, -0.1600036472082138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682903377200; [-513.8346557617188, 160.65939331054688, 0.30536216497421265, 90.0002212524414, -0.13510796427726746, -0.1600036472082138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682914303900; [-513.8346557617188, 160.65939331054688, 0.30536216497421265, 90.0002212524414, -0.13510796427726746, -0.1600036472082138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682924734200; [-513.8346557617188, 160.65939331054688, 0.30536359548568726, 90.0002212524414, -0.13510796427726746, -0.1600036472082138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682935164300; [-513.8346557617188, 160.65939331054688, 0.3053654730319977, 90.0002212524414, -0.13510796427726746, -0.1600036472082138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682945593800; [-513.8346557617188, 160.65939331054688, 0.30536431074142456, 90.0002212524414, -0.13510796427726746, -0.1600036472082138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682956023800; [-513.8346557617188, 160.65939331054688, 0.30536431074142456, 90.0002212524414, -0.13510796427726746, -0.1600036472082138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
False; False; 1746176682966454000; [-513.8346557617188, 160.65939331054688, 0.3053581118583679, 90.0002212524414, -0.13510796427726746, -0.1600036472082138]; [237.94761657714844, -119.03038024902344, 0.007164706941694021, -0.00042724609375, 0.23155705630779266, -6.103515261202119e-05]
