Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
False; False; 0; [-513.8343505859375, 160.65939331054688, 0.3060200810432434, 90.00019073486328, -0.13003313541412354, -0.1624145358800888]; [237.993408203125, -119.03111267089844, 0.006549739744514227, -0.02285766787827015, 0.23508143424987793, 5.0146223657066e-05]
