Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
False; False; 0; [-513.83447265625, 160.6593780517578, 0.3061176538467407, 90.00019073486328, -0.12969845533370972, -0.16302490234375]; [237.9477081298828, -119.03079986572266, 0.007347583770751953, -0.0008850097074173391, 0.23751981556415558, -0.008361815474927425]
