Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.30626174807548523, 90.00011444091797, -0.13125573098659515, -0.1641845554113388]; [237.94776916503906, -119.03076934814453, 0.0072817993350327015, -0.001251220703125, 0.23814819753170013, -0.009307860396802425]
