Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
False; False; 0; [-513.8355102539062, 160.65948486328125, 0.3060091733932495, 90.0004653930664, -0.13296328485012054, -0.1578979194164276]; [237.9478302001953, -119.03073120117188, 0.007455558516085148, -0.0038452146109193563, 0.2456682324409485, -0.01580810546875]
