Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
False; False; 0; [-513.8344116210938, 160.659423828125, 0.30616483092308044, 90.00018310546875, -0.1313786804676056, -0.1629638522863388]; [237.9477081298828, -119.03083038330078, 0.0072385212406516075, -0.0006103515625, 0.2356415092945099, -0.006134032737463713]
