Hardware Manager.inputs.Keyboard_1.inform; Hardware Manager.inputs.Keyboard_1.intervene; Carla Interface.time; Carla Interface.agents.My Vehicle_1.transform; Carla Interface.agents.Ego Vehicle_1.transform
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
False; False; 0; [-513.8343505859375, 160.659423828125, 0.3061900734901428, 90.00020599365234, -0.13125573098659515, -0.1629943996667862]; [238.0018310546875, -119.03143310546875, 0.006546497344970703, -0.047119140625, 0.23586690425872803, 5.23858871019911e-05]
